run_id,checkpoint_name,architecture,seed,stage,task_success,scenario_macro_success,reward,oracle_regret,llm_call_rate,required_call_recall,required_call_precision,required_call_f1,false_call_rate,missed_required_rate,action_macro_f1,action_entropy_nats,resource_cost,language_cost,language_latency_steps,memory_retention,habituation_sequence_success,novelty_reaction,params,active_connections,gates,cpu_inference_ms_mean,cpu_inference_ms_median,cpu_inference_ms_p95
gru128-s4-B0,imitation_best.pt,gru128,4,imitation,1.0,1.0,1.0040391683578491,0.015492081642150879,0.37109375,1.0,0.47368421052631576,0.6428571428571429,0.23696682464454977,0.0,0.8729443320643614,0.28704541907514647,0.012968750670552254,0.0185546875,3.0,1.0,1.0,1.0,56967,56192,384,0.030033055000000003,0.029860499999999998,0.0312937
gru128-s4-B0,imitation_final.pt,gru128,4,imitation,1.0,1.0,1.0040391683578491,0.015492081642150879,0.37109375,1.0,0.47368421052631576,0.6428571428571429,0.23696682464454977,0.0,0.8729443320643614,0.28704541907514647,0.012968750670552254,0.0185546875,3.0,1.0,1.0,1.0,56967,56192,384,0.02975723,0.0296505,0.030630349999999997
gru128-s4-B1,ppo_final.pt,gru128,4,ppo,0.50390625,0.4906565646330516,0.010992195457220078,1.00853905454278,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.6176294797902229,0.21265020492989403,0.014101562090218067,0.01835937611758709,3.0,0.0,1.0,1.0,56967,56192,384,0.031300185,0.0311935,0.03205705
gru128-s4-B2,ppo_final.pt,gru128,4,ppo,0.85546875,0.8452755113442739,0.686218798160553,0.333312451839447,0.41796875,1.0,0.4205607476635514,0.5921052631578948,0.2938388625592417,0.0,0.6409004129617974,0.43948615898698556,0.03890625014901161,0.02089843899011612,3.0,0.5135135054588318,1.0,1.0,56967,56192,384,0.031367115,0.0312975,0.032134699999999995
gru128-s4-B3,ppo_final.pt,gru128,4,ppo,1.0,1.0,1.0041093826293945,0.015421867370605469,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8800591423613594,0.2841790670843892,0.013164062984287739,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.03133013,0.031261,0.032032899999999996
gru128-s4-B4,ppo_final.pt,gru128,4,ppo,0.76171875,0.7570911844571432,0.526187539100647,0.493343710899353,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.7676563255372306,0.2970358221458321,0.014531249180436134,0.01835937611758709,3.0,0.4864864945411682,1.0,1.0,56967,56192,384,0.03139538,0.0312765,0.03231005
gru128-s4-B5,ppo_final.pt,gru128,4,ppo,0.3359375,0.32139116028944653,-0.33076563477516174,1.3502968847751617,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.6171368596786185,0.22972182272260327,0.009531250223517418,0.01835937611758709,3.0,0.4864864945411682,0.0,0.5,56967,56192,384,0.031455285,0.0313875,0.03227595
gru128-s4-B6,ppo_final.pt,gru128,4,ppo,0.6796875,0.677645872036616,0.36396098136901855,0.6555702686309814,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.7253271435980154,0.24259176452836373,0.0126953125,0.01835937611758709,3.0,0.5405405163764954,1.0,1.0,56967,56192,384,0.03146301,0.031342,0.03244065
gru128-s4-B7,ppo_final.pt,gru128,4,ppo,0.95703125,0.9535931249459585,0.9082344174385071,0.11129683256149292,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.7703045409965622,0.3451365238960954,0.023085936903953552,0.01835937611758709,3.0,0.837837815284729,1.0,1.0,56967,56192,384,0.031227315,0.031117,0.0318609
gru128-s4-B8,ppo_final.pt,gru128,4,ppo,1.0,1.0,1.0041172504425049,0.015413999557495117,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8809871068945513,0.28378376255313326,0.013164062984287739,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.0316142,0.031504000000000004,0.0322543
gru128-s5-B0,imitation_best.pt,gru128,5,imitation,1.0,1.0,1.0012656450271606,0.018265604972839355,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8582071373851033,0.2968705051275634,0.01601562462747097,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.031621224999999996,0.031479,0.03286285
gru128-s5-B0,imitation_final.pt,gru128,5,imitation,1.0,1.0,1.0012656450271606,0.018265604972839355,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8582071373851033,0.2968705051275634,0.01601562462747097,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.029802765,0.029707,0.0308066
gru128-s5-B1,ppo_final.pt,gru128,5,ppo,0.33984375,0.3333333333333333,-0.3139296770095825,1.3334609270095825,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.6461533586209939,0.189290189802592,0.010898436419665813,0.01835937611758709,3.0,0.0,1.0,1.0,56967,56192,384,0.03144416,0.031343499999999996,0.0323103
gru128-s5-B2,ppo_final.pt,gru128,5,ppo,0.86328125,0.8574271947145462,0.6686093807220459,0.3509218692779541,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.6386231254865746,0.5991983293380408,0.07523436844348907,0.01835937611758709,3.0,0.7027027010917664,1.0,1.0,56967,56192,384,0.03122344,0.031101499999999997,0.0319829
gru128-s5-B3,ppo_final.pt,gru128,5,ppo,1.0,1.0,1.0013046264648438,0.01822662353515625,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8447047289330881,0.30363497146597085,0.015976563096046448,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.031444074999999995,0.031351000000000004,0.032457599999999996
gru128-s5-B4,ppo_final.pt,gru128,5,ppo,0.3359375,0.32139116028944653,-0.33482810854911804,1.354359358549118,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.6811474015787217,0.2382628359764892,0.013593749143183231,0.01835937611758709,3.0,0.4864864945411682,0.0,0.5,56967,56192,384,0.03139139,0.0312765,0.032076549999999995
gru128-s5-B5,ppo_final.pt,gru128,5,ppo,0.33984375,0.3333333333333333,-0.3136562407016754,1.3331874907016754,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.5990804282151835,0.17031680890846596,0.010624999180436134,0.01835937611758709,3.0,0.0,1.0,1.0,56967,56192,384,0.031514585,0.0314185,0.032178450000000004
gru128-s5-B6,ppo_final.pt,gru128,5,ppo,1.0,1.0,1.006265640258789,0.013265609741210938,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.9008048615138463,0.2670143989237754,0.011015623807907104,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.03136537,0.031266,0.031974999999999996
gru128-s5-B7,ppo_final.pt,gru128,5,ppo,1.0,1.0,0.9842343926429749,0.035296857357025146,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.7424661183265927,0.419561046173522,0.033046871423721313,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.031613805,0.031439499999999995,0.03249385
gru128-s5-B8,ppo_final.pt,gru128,5,ppo,1.0,1.0,1.0015780925750732,0.017953157424926758,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8511653984868262,0.29999988409415645,0.015703124925494194,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.031287375,0.0311875,0.03210525
gru128-s6-B0,imitation_best.pt,gru128,6,imitation,1.0,1.0,1.0050547122955322,0.014476537704467773,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8890200297415981,0.276645404055883,0.012226562947034836,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.036532039999999995,0.0361605,0.038691449999999995
gru128-s6-B0,imitation_final.pt,gru128,6,imitation,1.0,1.0,1.0050547122955322,0.014476537704467773,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8890200297415981,0.276645404055883,0.012226562947034836,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.029762165,0.0296435,0.03054735
gru128-s6-B1,ppo_final.pt,gru128,6,ppo,1.0,1.0,1.0049922466278076,0.014539003372192383,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8546227949631007,0.2877949984958304,0.012109375558793545,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.031427295,0.031342,0.032225199999999996
